old_name,new_name,Found,EQUAL,,,,,,,
"10-Yard Fight (USA, Europe)","10-Yard Fight (USA, Europe)",Y,OK,,,,,,,
"1942 (Japan, USA)","1942 (Japan, USA)",Y,OK,,,,,,,
1943,1943 - The Battle of Midway (USA),Y,NOK,mv '1943.nes' '1943 - The Battle of Midway (USA).nes',,,,,,mv 1943.nes '1943 - The Battle of Midway (USA).nes'
8 Eyes (USA),8 Eyes (USA),Y,OK,,,,,,,
Abadox,Abadox - The Deadly Inner War (USA),Y,NOK,mv 'Abadox.nes' 'Abadox - The Deadly Inner War (USA).nes',,,,,,
Addams_family,"Addams Family, The (USA)",N,NOK,,,,,,,
"Addams Family - Pugsley's Scavenger Hunt, The (U)","Addams Family, The - Pugsley&apos;s Scavenger Hunt (USA)",N,NOK,,,,,,,
AdvCaptC,Captain Comic - The Adventure (USA) (Unl),N,NOK,,,,,,,
Adventure Island 3,Adventure Island 3 (USA),Y,NOK,mv 'Adventure Island 3.nes' 'Adventure Island 3 (USA).nes',,,,,,
Adventure Island 4,notfound,N,NOK,,,,,,,
Adventure Island II (USA),Adventure Island II (USA),Y,OK,,,,,,,
Adventure Island (USA),Adventure Island (USA),Y,OK,,,,,,,
Adventures in the Magic Kingdom (USA),Adventures in the Magic Kingdom (USA),Y,OK,,,,,,,
Adventures of Dino Riki (USA),Adventures of Dino Riki (USA),Y,OK,,,,,,,
Adventures of Lolo 2 (USA),Adventures of Lolo 2 (USA),Y,OK,,,,,,,
Adventures of Lolo 3 (USA),Adventures of Lolo 3 (USA),Y,OK,,,,,,,
Adventures of Lolo (USA),Adventures of Lolo (USA),Y,OK,,,,,,,
AdvRadGr,"Adventures of Rad Gravity, The (USA)",N,NOK,,,,,,,
Air Fortress (USA),Air Fortress (USA),Y,OK,,,,,,,
Alfred Chicken (USA),Alfred Chicken (USA),Y,OK,,,,,,,
Alien Syndrome (USA) (Unl),Alien Syndrome (USA) (Unl),Y,OK,,,,,,,
Alpha Mission (USA),Alpha Mission (USA),Y,OK,,,,,,,
Al Unser Jr. Turbo Racing (USA),Al Unser Jr. Turbo Racing (USA),Y,OK,,,,,,,
Amagon (USA),Amagon (USA),Y,OK,,,,,,,
American Gladiators (USA),American Gladiators (USA),Y,OK,,,,,,,
A Nightmare On Elm Street,"Nightmare on Elm Street, A (USA)",N,NOK,,,,,,,
Archon (USA),Archon (USA),Y,OK,,,,,,,
Arch Rival,Arch Rivals - A Basketbrawl! (USA),Y,NOK,mv 'Arch Rival.nes' 'Arch Rivals - A Basketbrawl! (USA).nes',,,,,,
Arkista's Ring (USA),Arkista's Ring (USA),Y,OK,,,,,,,
Astyanax (USA),Astyanax (USA),Y,OK,,,,,,,
Athena (USA),Athena (USA),Y,OK,,,,,,,
Attack of the Killer Tomatoes (USA),Attack of the Killer Tomatoes (USA),Y,OK,,,,,,,
Baby Boomer (USA) (Unl),Baby Boomer (USA) (Unl),Y,OK,,,,,,,
Back to the Future Part II & III (USA),Back to the Future Part II & III (USA),Y,OK,,,,,,,
Bad Dudes (USA),Bad Dudes (USA),Y,OK,,,,,,,
Bad News Baseball (USA),Bad News Baseball (USA),Y,OK,,,,,,,
Bad Street Brawler (USA),Bad Street Brawler (USA),Y,OK,,,,,,,
Balloon Fight (USA),Balloon Fight (USA),Y,OK,,,,,,,
BardTale,"Bard&apos;s Tale, The (USA)",N,NOK,,,,,,,
Barker Bill's Trick Shooting (USA),Barker Bill's Trick Shooting (USA),Y,OK,,,,,,,
Baseball Simulator 1.000 (USA),Baseball Simulator 1.000 (USA),Y,OK,,,,,,,
Baseball Stars II (USA),Baseball Stars II (USA),Y,OK,,,,,,,
Baseball Stars (USA),Baseball Stars (USA),Y,OK,,,,,,,
Bases_loaded2,Bases Loaded II - Second Season (USA),N,NOK,,,,,,,
Bases Loaded 3 (USA),Bases Loaded 3 (USA),Y,OK,,,,,,,
Bases Loaded 4 (USA),Bases Loaded 4 (USA),Y,OK,,,,,,,
Batman,Batman Returns (USA),Y,NOK,mv 'Batman.nes' 'Batman Returns (USA).nes',,,,,,
Batman_return_of_the_joker,Batman - Return of the Joker (USA),N,NOK,,,,,,,
Batman Returns (USA),Batman Returns (USA),Y,OK,,,,,,,
battleolympus,"Battle of Olympus, The (USA)",N,NOK,,,,,,,
Battletoads-Double Dragon (USA),Battletoads-Double Dragon (USA),Y,OK,,,,,,,
Battletoads (USA),Battletoads (USA),Y,OK,,,,,,,
Bill & Ted's Excellent Video Game Adventure (USA),Bill & Ted's Excellent Video Game Adventure (USA),Y,OK,,,,,,,
Bionic Commando (USA),Bionic Commando (USA),Y,OK,,,,,,,
Black_bass,"Black Bass, The (USA)",N,NOK,,,,,,,
Blades of Steel (USA),Blades of Steel (USA),Y,OK,,,,,,,
Blaster Master (USA),Blaster Master (USA),Y,OK,,,,,,,
"BlueMarlin,The","Blue Marlin, The (USA)",N,NOK,,,,,,,
Bomberman II (USA),Bomberman II (USA),Y,OK,,,,,,,
